,open,high,low,close,volume
2010-01-04,47.2990778417868,47.565208314507395,47.16873532871673,47.434865801437326,10153765
2010-01-05,46.47462418474272,47.54086970978197,45.52956224049167,46.59580776553092,10209053
2010-01-06,47.13060844894512,47.666328260508294,46.94464768876013,47.480367500323304,8616845
2010-01-07,48.45432802281538,48.54484670780104,48.13229425216546,48.22281293715112,10828200
2010-01-08,47.269817606207674,47.45389656598109,47.109437634647506,47.29351659442092,8547731
2010-01-11,46.60540860584898,47.5748854306752,46.08032601199771,47.049802836823936,15265416
2010-01-12,46.807934579718456,47.055280960549666,46.469338113303294,46.716684494134505,8521653
2010-01-13,46.31318934004923,46.4678340797317,45.83222496137577,45.98686970105825,8534298
2010-01-14,45.27334584821696,45.53721127189769,45.063649607680006,45.32751503136073,10291028
2010-01-15,45.68805600550212,46.09649206489288,44.70079161851538,45.10922767790614,9541721
2010-01-18,46.72387488523459,47.25522170988399,45.990778904328444,46.52212572897784,5811457
2010-01-19,46.923347655336514,47.21434915496994,46.456228344334434,46.74722984396786,9769128
2010-01-20,46.184087843843066,46.636991445325975,45.8373563035286,46.29025990501151,10907716
2010-01-21,45.638202539467734,45.83931743053014,45.24619230922913,45.44730720029153,14780215
2010-01-22,45.32058713902037,45.72720752670876,44.90224198836346,45.30886237605185,7268509
2010-01-25,44.304021004801776,44.48612634626795,44.11860538957908,44.30071073104526,6917722
2010-01-26,45.1971591717292,45.49729240695476,44.78455786480805,45.084691100033616,10073730
2010-01-27,45.335947398722986,45.788110458613176,45.20444084100389,45.656603900894076,14489839
2010-01-28,45.96362606443346,46.05761029685916,45.77401701206546,45.868001244491154,10413769
2010-01-29,46.40860872378237,46.639970599628874,46.24696798665795,46.47832986250445,10980325
2010-02-01,46.22278868637319,46.81053177040422,45.86806577638817,46.4558088604192,7383423
2010-02-02,46.03292359772479,46.610833435093156,45.49694564524473,46.074855482613096,6285443
2010-02-03,47.16056007696372,47.520743375288056,47.023495893680796,47.38367919200513,12382927
2010-02-04,47.22611596051535,47.73728425495123,46.89447496401414,47.40564325845001,8075387
2010-02-05,47.72969594665094,47.87771489950113,47.382313447162595,47.53033240001278,11207233
2010-02-08,50.26835232287094,50.38974423955455,50.133658520534716,50.25505043721833,8332364
2010-02-09,51.14466865831508,52.35731471048667,50.22332661496868,51.43597266714027,9613504
2010-02-10,50.996553768841004,51.23613702535992,50.863452596318844,51.10303585283776,5990378
2010-02-11,50.36384669895492,50.770209131780526,50.07706431463714,50.483426747462744,7672637
2010-02-12,51.49006660752876,51.66562624436351,51.457681359335794,51.63324099617054,8218818
