,open,high,low,close,volume
2010-01-04,17.865329835730563,18.281031083786168,17.663069086196497,18.078770334252102,9854466
2010-01-05,17.907112783241974,18.115103018001545,17.58708161868094,17.79507185344051,11317301
2010-01-06,17.546723710511507,17.887554187573954,17.353144202580634,17.69397467964308,5765801
2010-01-07,18.093858302865147,18.178005782707647,17.896809933869672,17.980957413712172,7051174
2010-01-08,17.752456814640286,17.842059826458687,17.589203449771578,17.67880646158998,7117411
2010-01-11,18.11020500650495,18.32820766242139,17.72797354852779,17.945976204444232,7906803
2010-01-12,18.03745642715679,18.078572760567425,17.92115079778574,17.962267131196374,8106603
2010-01-13,18.04041856286892,18.04160128214175,18.024002637285502,18.025185356558335,3357975
2010-01-14,17.76151880658334,17.95875601457009,17.641831869025676,17.839069077012425,8548612
2010-01-15,18.231623275533032,18.318698119099693,18.17076266915084,18.2578375127175,10236011
2010-01-18,18.260394344321004,18.279591172112667,18.01827116678132,18.037467994572985,5708923
2010-01-19,18.1009020995125,18.35753082226978,17.907254982618962,18.163883705376243,5903948
2010-01-20,18.032335532325654,18.033319094029864,17.940887198269582,17.941870759973792,11167664
2010-01-21,17.651805438647855,17.99091476694083,17.450760267835733,17.789869596128707,10207836
2010-01-22,17.928621978336594,18.06769635426687,17.681043164937005,17.820117540867283,5317623
2010-01-25,17.80210519882158,17.90125979676931,17.792600718305273,17.891755316253004,5943974
2010-01-26,17.683520878246092,17.96363529138228,17.52072184627588,17.800836259412065,3496785
2010-01-27,17.667413070405875,17.87234981578348,17.628291503793044,17.83322824917065,9486023
2010-01-28,17.781513340231797,17.99389228188258,17.396489867339362,17.608868808990145,7471079
2010-01-29,17.66780350460039,17.897595113514043,17.447694692527385,17.67748630144104,5838231
2010-02-01,17.93064135949727,18.106184210925136,17.72314126809579,17.898684119523658,10488813
2010-02-02,17.89041356653936,17.8928253473733,17.83161261234321,17.83402439317715,5562850
2010-02-03,18.0379640570463,18.09708987495267,17.881067068231058,17.940192886137428,3158411
2010-02-04,17.497596720517308,17.605552869991932,17.478868669831623,17.586824819306248,5407948
2010-02-05,17.59025115388556,17.63506392899594,17.52973296942315,17.57454574453353,10704798
2010-02-08,17.492968944739292,17.70868811315277,17.350477669387015,17.566196837800494,7512542
2010-02-09,17.411339924405194,17.4470476281859,17.392247234557548,17.427954938338253,6946170
2010-02-10,17.351674351595346,17.43762627645442,17.30659490886077,17.392546833719845,14645183
2010-02-11,17.59674820681688,17.80321927703308,17.441690220897804,17.648161291114004,6035187
2010-02-12,17.799480598682365,17.91791246387633,17.72624653377685,17.844678398970814,3125312
2010-02-15,17.96136882258462,18.09315882882378,17.869968598595232,18.00175860483439,8116971
2010-02-16,17.802398350990178,17.844380728100422,17.78598258011893,17.827964957229174,10071071
2010-02-17,17.623467325935632,17.640494366291037,17.519241276330114,17.53626831668552,5760153
2010-02-18,17.622839746745115,17.636699258554327,17.527472463872797,17.54133197568201,11313589
2010-02-19,17.282691507168742,17.39078993931959,17.181384739882386,17.289483172033233,10322372
2010-02-22,17.527852802396847,17.586567892811527,17.360260353268107,17.418975443682786,5639864
2010-02-23,17.32024645865001,17.476717549485926,17.103845360518395,17.26031645135431,3815448
2010-02-24,17.291621203219467,17.357111574915532,17.14340514347124,17.208895515167306,9344399
2010-02-25,17.453542819019653,17.705539292702863,17.4313390167352,17.68333549041841,6238980
2010-02-26,17.91383965201093,17.918968469251613,17.839073434922334,17.844202252163015,5817588
2010-03-01,17.559427783606136,17.78970432890384,17.37467651066499,17.604953055962696,5694237
2010-03-02,17.62183178074933,17.643115545629477,17.504099675885772,17.52538344076592,4554042
2010-03-03,17.388673660520183,17.629590852378836,17.159996370013612,17.400913561872265,5629623
2010-03-04,17.408133665922755,17.416181008960606,17.330126732156202,17.338174075194054,6980945
2010-03-05,17.674017568985306,17.901727084727053,17.36318484987336,17.590894365615107,8303145
2010-03-08,17.3910102710407,17.442384258543076,17.304928314086144,17.35630230158852,5526307
2010-03-09,16.92698443287591,16.972721939807695,16.923468103455445,16.96920561038723,11484042
2010-03-10,16.91402034666211,16.9276669505551,16.894309405539758,16.90795600943275,5779573
2010-03-11,16.858671874179002,16.9776680013556,16.652462578542302,16.7714587057189,6669657
2010-03-12,16.585180309166944,16.718995194888233,16.537901197647535,16.671716083368825,10858937
2010-03-15,16.76464498867433,16.778406139615527,16.680680744231523,16.69444189517272,7213703
2010-03-16,16.547244827675442,16.66246818642506,16.366687495498006,16.481910854247623,9177329
2010-03-17,16.472641154105503,16.586193929550735,16.293779340272764,16.407332115717995,7101206
2010-03-18,16.113785589642486,16.13012398200346,16.0968025875114,16.113140979872377,5906276
2010-03-19,15.882169826097325,16.063149891684905,15.779384271336793,15.960364336924373,8998637
2010-03-22,16.05702765598089,16.150662417455216,16.003464124270426,16.097098885744753,6658399
2010-03-23,15.827166593841778,15.912943973299866,15.756471617992585,15.842248997450673,7677318
2010-03-24,16.10090621342491,16.161680284742705,15.968679217875732,16.029453289193526,7944121
2010-03-25,15.900279110469848,15.938134164200504,15.733272528763157,15.771127582493813,6252073
2010-03-26,15.887755904498615,15.921575134789292,15.796471865003626,15.830291095294303,7259897
2010-03-29,15.748452378304817,15.967049108205552,15.602548738680088,15.821145468580823,6651411
2010-03-30,15.841233979669516,16.00262000384648,15.742840105427762,15.904226129604728,8168180
2010-03-31,15.917801826848757,16.005758394599386,15.792488920641123,15.880445488391752,7144390
2010-04-01,15.87181508608701,15.93237503689375,15.814717860055367,15.875277810862109,8444277
2010-04-02,15.967317267403082,16.011912270911225,15.936894827005853,15.981489830513995,6822106
2010-04-05,16.113987729869446,16.15887805939942,16.07352442513929,16.118414754669264,8380576
2010-04-06,15.849183028266395,16.059357340199778,15.589701305819819,15.7998756177532,3560274
2010-04-07,16.017734990631304,16.09539852016579,15.867634300636018,15.945297830170507,7960458
2010-04-08,15.675807715687801,15.997343904551775,15.32915216188511,15.650688350749084,13239862
2010-04-09,15.671381014340362,15.792076223233712,15.613143778041904,15.733838986935254,6905376
2010-04-12,15.762235610114608,15.909623951074376,15.63463317803977,15.782021518999539,3267684
2010-04-13,15.86553823838418,16.09640310861732,15.712855119219372,15.94371998945251,9238948
2010-04-14,15.933488556143898,15.988755582033326,15.906478748809961,15.96174577469939,6672943
2010-04-15,16.01845863870606,16.14194988691432,15.833298070196477,15.956789318404734,5722975
2010-04-16,15.794397520542962,15.98070923341924,15.70345536026471,15.88976707314099,9102232
2010-04-19,15.675422840222796,15.84481102558551,15.547353023356425,15.71674120871914,5520064
2010-04-20,15.27577330510246,15.47965725249625,15.238974513564777,15.442858460958567,7890028
2010-04-21,15.438291855037976,15.61307457510845,15.186484429104809,15.361267149175283,9785205
2010-04-22,15.274896185648435,15.401793880359296,15.188783352712283,15.315681047423144,9081099
2010-04-23,15.217802412076644,15.281760314311397,15.19953369855745,15.263491600792204,7732476
2010-04-26,15.048211190875644,15.424950276477835,14.754900957743216,15.131640043345406,9231442
2010-04-27,15.626945422434106,15.637404951275258,15.44429497532836,15.454754504169511,6330284
2010-04-28,15.56224233922365,15.639027383134849,15.527492776445616,15.604277820356815,8180624
2010-04-29,15.429397838005423,15.513538957873426,15.403399789642538,15.48754090951054,11053795
2010-04-30,15.645999152414637,15.741276141802684,15.533886074134692,15.62916306352274,8468730
2010-05-03,15.606715257596296,15.682191231779274,15.580890374815931,15.65636634899891,4896592
2010-05-04,15.71444756342261,16.112161391625097,15.267058706581697,15.664772534784186,8950969
2010-05-05,15.587843458809239,15.592431996381018,15.552124765020354,15.556713302592133,5569767
2010-05-06,15.603417111626474,15.706017951900337,15.48442172467752,15.587022564951384,4645655
2010-05-07,15.746667273387418,16.014445865405538,15.546093239720124,15.813871831738243,10331682
2010-05-10,15.764851649825077,16.04153301119818,15.607775052213885,15.884456413586987,7086676
2010-05-11,16.117346374222226,16.29650129016218,16.055691285308804,16.234846201248757,4041730
2010-05-12,16.038941728680527,16.146525378659888,16.028556251181957,16.136139901161318,7455693
2010-05-13,16.118319984368252,16.198397340563083,16.035170076649525,16.115247432844356,4904150
2010-05-14,16.238256669275064,16.471241051400437,16.100210054995127,16.3331944371205,8637224
2010-05-17,16.280513829085496,16.368123309051423,16.18753521095563,16.275144690921557,8720077
2010-05-18,16.17357828458745,16.18620768180094,16.13264997333676,16.145279370550252,11296268
2010-05-19,16.022153065090862,16.066258100766877,16.017039369473103,16.06114440514912,9390873
2010-05-20,16.1655035366574,16.16584441904278,16.14278030343031,16.14312118581569,4736503
2010-05-21,16.330754207306338,16.41661567858846,16.138663533090657,16.22452500437278,11044842
2010-05-24,16.609477870886884,16.645380364426565,16.456199058587607,16.492101552127288,6881101
2010-05-25,16.457719946157745,16.495538281600535,16.409299060883832,16.44711739632662,5939912
2010-05-26,16.424537874334455,16.66822439538564,16.33552704677935,16.579213567830536,6050659
2010-05-27,17.025851550755853,17.15939067247872,16.85056327553776,16.984102397260628,12325101
2010-05-28,17.240764288617267,17.287240555634554,17.16174876786436,17.208225034881647,5985875
2010-05-31,16.918118141248787,17.018488235743682,16.843289154338056,16.94365924883295,11522852
2010-06-01,17.036997443806296,17.094635506327982,16.951903957048103,17.00954201956979,5269994
2010-06-02,17.131823683224837,17.31365294670134,16.985585528770216,17.167414792246717,5326472
2010-06-03,17.13992452549677,17.184241309009145,17.020258784570434,17.06457556808281,11685127
2010-06-04,17.077863163165855,17.07800546244315,16.960776656321126,16.960918955598423,14901838
2010-06-07,16.705558944401773,16.821960004155553,16.68106504889036,16.79746610864414,8266624
2010-06-08,16.895402008744444,16.90412392486478,16.855775995279892,16.86449791140023,5646657
2010-06-09,17.154218768098932,17.191360726872656,17.051373255676243,17.088515214449966,8955151
2010-06-10,17.676296166649042,17.680718127305862,17.60880480699409,17.61322676765091,9478728
2010-06-11,17.950454679369493,18.170453624550813,17.64325542909195,17.86325437427327,13928940
2010-06-14,17.678659039967346,17.895478768888538,17.428936318746665,17.645756047667856,6318681
